2026-02-21 22:47:53 | INFO | underwater_sensor_ga.ga | Generation 198/500 | best_global_cost=4.456 | generation_best=4.690
2026-02-21 22:47:55 | INFO | underwater_sensor_ga.ga | Generation 199/500 | best_global_cost=4.456 | generation_best=4.959
2026-02-21 22:47:57 | INFO | underwater_sensor_ga.ga | Generation 200/500 | best_global_cost=4.456 | generation_best=4.772
2026-02-21 22:47:59 | INFO | underwater_sensor_ga.ga | Generation 201/500 | best_global_cost=4.456 | generation_best=4.727
2026-02-21 22:48:02 | INFO | underwater_sensor_ga.ga | Generation 202/500 | best_global_cost=4.456 | generation_best=4.884
2026-02-21 22:48:04 | INFO | underwater_sensor_ga.ga | Generation 203/500 | best_global_cost=4.456 | generation_best=4.771
2026-02-21 22:48:06 | INFO | underwater_sensor_ga.ga | Generation 204/500 | best_global_cost=4.456 | generation_best=5.035
2026-02-21 22:48:08 | INFO | underwater_sensor_ga.ga | Generation 205/500 | best_global_cost=4.456 | generation_best=4.759
2026-02-21 22:48:11 | INFO | underwater_sensor_ga.ga | Generation 206/500 | best_global_cost=4.456 | generation_best=4.797
2026-02-21 22:48:13 | INFO | underwater_sensor_ga.ga | Generation 207/500 | best_global_cost=4.456 | generation_best=4.920
2026-02-21 22:48:15 | INFO | underwater_sensor_ga.ga | Generation 208/500 | best_global_cost=4.456 | generation_best=4.773
2026-02-21 22:48:17 | INFO | underwater_sensor_ga.ga | Generation 209/500 | best_global_cost=4.456 | generation_best=5.019
2026-02-21 22:48:19 | INFO | underwater_sensor_ga.ga | Generation 210/500 | best_global_cost=4.456 | generation_best=4.880
2026-02-21 22:48:22 | INFO | underwater_sensor_ga.ga | Generation 211/500 | best_global_cost=4.456 | generation_best=4.898
2026-02-21 22:48:24 | INFO | underwater_sensor_ga.ga | Generation 212/500 | best_global_cost=4.456 | generation_best=4.824
2026-02-21 22:48:26 | INFO | underwater_sensor_ga.ga | Generation 213/500 | best_global_cost=4.456 | generation_best=4.685
2026-02-21 22:48:28 | INFO | underwater_sensor_ga.ga | Generation 214/500 | best_global_cost=4.456 | generation_best=4.756
2026-02-21 22:48:31 | INFO | underwater_sensor_ga.ga | Generation 215/500 | best_global_cost=4.456 | generation_best=4.494
2026-02-21 22:48:33 | INFO | underwater_sensor_ga.ga | Generation 216/500 | best_global_cost=4.456 | generation_best=4.745
2026-02-21 22:48:35 | INFO | underwater_sensor_ga.ga | Generation 217/500 | best_global_cost=4.456 | generation_best=4.860
2026-02-21 22:48:37 | INFO | underwater_sensor_ga.ga | Generation 218/500 | best_global_cost=4.456 | generation_best=4.576
2026-02-21 22:48:40 | INFO | underwater_sensor_ga.ga | Generation 219/500 | best_global_cost=4.456 | generation_best=4.838
2026-02-21 22:48:42 | INFO | underwater_sensor_ga.ga | Generation 220/500 | best_global_cost=4.456 | generation_best=4.872
2026-02-21 22:48:44 | INFO | underwater_sensor_ga.ga | Generation 221/500 | best_global_cost=4.456 | generation_best=4.805
2026-02-21 22:48:46 | INFO | underwater_sensor_ga.ga | Generation 222/500 | best_global_cost=4.456 | generation_best=4.913
