generation,label,total_cost,mean_error_m,no_coverage_rate,localizable_impacts,num_impacts
178,GA_best_global,4.417247014914958,4.182501725768594,0.0,30,30
179,GA_best_gen,5.206628570480128,4.774094529851548,0.0,30,30
179,GA_best_global,4.417247014914958,4.182501725768594,0.0,30,30
180,GA_best_gen,5.095275145604705,4.702056220926272,0.0,30,30
180,GA_best_global,4.417247014914958,4.182501725768594,0.0,30,30
181,GA_best_gen,4.386571474948296,4.204131128030052,0.0,30,30
181,GA_best_global,4.386571474948296,4.204131128030052,0.0,30,30
182,GA_best_gen,4.760914046457262,4.486315836545752,0.0,30,30
182,GA_best_global,4.386571474948296,4.204131128030052,0.0,30,30
183,GA_best_gen,4.85775038250819,4.522358714760537,0.0,30,30
183,GA_best_global,4.386571474948296,4.204131128030052,0.0,30,30
184,GA_best_gen,4.947875971253663,4.6042524792091,0.0,30,30
184,GA_best_global,4.386571474948296,4.204131128030052,0.0,30,30
185,GA_best_gen,4.981512943623704,4.623661373602616,0.0,30,30
185,GA_best_global,4.386571474948296,4.204131128030052,0.0,30,30
186,GA_best_gen,4.832394263778318,4.5317628255732805,0.0,30,30
186,GA_best_global,4.386571474948296,4.204131128030052,0.0,30,30
187,GA_best_gen,4.830775347275328,4.539511293499983,0.0,30,30
187,GA_best_global,4.386571474948296,4.204131128030052,0.0,30,30
188,GA_best_gen,4.989847130773309,4.643038893099258,0.0,30,30
188,GA_best_global,4.386571474948296,4.204131128030052,0.0,30,30
189,GA_best_gen,5.05709464509717,4.676847568434664,0.0,30,30
189,GA_best_global,4.386571474948296,4.204131128030052,0.0,30,30
190,GA_best_gen,4.5373206465782046,4.309013975730226,0.0,30,30
190,GA_best_global,4.386571474948296,4.204131128030052,0.0,30,30
191,GA_best_gen,4.922385706386959,4.59230288377867,0.0,30,30
191,GA_best_global,4.386571474948296,4.204131128030052,0.0,30,30
192,GA_best_gen,4.945230989150467,4.599947809369596,0.0,30,30
192,GA_best_global,4.386571474948296,4.204131128030052,0.0,30,30
193,GA_best_gen,4.980386016828324,4.6230811878222395,0.0,30,30
193,GA_best_global,4.386571474948296,4.204131128030052,0.0,30,30
194,GA_best_gen,5.1150911127731495,4.736857991541577,0.0,30,30
194,GA_best_global,4.386571474948296,4.204131128030052,0.0,30,30
195,GA_best_gen,4.610197193399216,4.351918827323913,0.0,30,30
195,GA_best_global,4.386571474948296,4.204131128030052,0.0,30,30
196,GA_best_gen,4.77542079889651,4.486572575370048,0.0,30,30
196,GA_best_global,4.386571474948296,4.204131128030052,0.0,30,30
197,GA_best_gen,5.270078390922608,4.822956845700401,0.0,30,30
197,GA_best_global,4.386571474948296,4.204131128030052,0.0,30,30
198,GA_best_gen,4.5681827165182725,4.311180239982506,0.0,30,30
198,GA_best_global,4.386571474948296,4.204131128030052,0.0,30,30
199,GA_best_gen,4.954710007292682,4.610774650871293,0.0,30,30
199,GA_best_global,4.386571474948296,4.204131128030052,0.0,30,30
200,GA_best_gen,4.898339667043164,4.578921474258579,0.0,30,30
200,GA_best_global,4.386571474948296,4.204131128030052,0.0,30,30
201,GA_best_gen,5.171910807040185,4.734496048103101,0.0,30,30
201,GA_best_global,4.386571474948296,4.204131128030052,0.0,30,30
